"ItemType","Path","SizeBytes","SizeHuman","Category","LastAccessTime","LastWriteTime","RiskLevel","SuggestedAction","EstimatedReleaseBytes","EstimatedReleaseHuman","Reason"
"Directory","D:\","433989475991","404.18 GB","未分类","2026/4/10 15:50:19","2026/4/10 12:25:05","高风险","保留不动","433989475991","404.18 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","D:\Program Files","196030716427","182.57 GB","未分类","2026/4/10 15:50:19","2026/3/10 20:26:51","高风险","保留不动","196030716427","182.57 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","D:\Program Data","164287361253","153.00 GB","未分类","2026/4/10 15:50:19","2026/2/24 16:39:02","高风险","保留不动","164287361253","153.00 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","D:\Program Data\lmstudio_models","160570488972","149.54 GB","AI 模型权重、数据集、缓存","2026/4/10 15:50:19","2026/4/9 10:12:01","中风险","需要用户确认","160570488972","149.54 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","D:\Program Files\Topaz Labs LLC","84024653093","78.25 GB","未分类","2026/4/10 15:50:19","2026/3/21 21:36:45","高风险","保留不动","84024653093","78.25 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","D:\Program Data\lmstudio_models\lmstudio-community","79571992864","74.11 GB","AI 模型权重、数据集、缓存","2026/4/10 15:50:19","2026/4/7 19:28:17","中风险","需要用户确认","79571992864","74.11 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","D:\Program Files\Tencent","65038635280","60.57 GB","未分类","2026/4/10 15:50:18","2026/2/12 7:51:56","高风险","保留不动","65038635280","60.57 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","D:\Program Files\Tencent\GameAssist","60084585044","55.96 GB","游戏文件与游戏缓存","2026/4/10 15:50:18","2026/2/12 7:52:31","中风险","需要用户确认","60084585044","55.96 GB","游戏资源可重装但体积大，回收空间高，代价是重装时间和流量。"
"Directory","D:\Program Files\Tencent\GameAssist\Image","58941851170","54.89 GB","游戏文件与游戏缓存","2026/4/10 15:48:05","2026/4/5 21:23:25","中风险","需要用户确认","58941851170","54.89 GB","游戏资源可重装但体积大，回收空间高，代价是重装时间和流量。"
"Directory","D:\Program Files\Topaz Labs LLC\Topaz Video","45895678272","42.74 GB","未分类","2026/4/10 15:50:19","2026/3/10 20:27:13","高风险","保留不动","45895678272","42.74 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","D:\Program Files\Topaz Labs LLC\Topaz Video\models","45194285471","42.09 GB","AI 模型权重、数据集、缓存","2026/4/10 15:48:56","2026/3/10 22:59:43","中风险","需要用户确认","45194285471","42.09 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","D:\Program Files\Topaz Labs LLC\Topaz Gigapixel","38128974821","35.51 GB","未分类","2026/4/10 15:50:19","2026/3/21 23:48:59","高风险","保留不动","38128974821","35.51 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","D:\Program Files\Topaz Labs LLC\Topaz Gigapixel\models","37083425465","34.54 GB","AI 模型权重、数据集、缓存","2026/4/10 15:48:09","2026/4/6 17:52:42","中风险","需要用户确认","37083425465","34.54 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","D:\Forge Models","33592222300","31.29 GB","AI 模型权重、数据集、缓存","2026/4/10 15:50:19","2025/11/15 21:42:48","中风险","需要用户确认","33592222300","31.29 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","D:\Forge Models\Stable-Diffusion","33592222300","31.29 GB","AI 模型权重、数据集、缓存","2026/4/10 15:50:19","2025/11/15 21:48:53","中风险","需要用户确认","33592222300","31.29 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","D:\Program Files\元梦之星-山海寻灵(2002532)","29390805833","27.37 GB","未分类","2026/4/10 15:50:19","2026/2/26 14:56:07","高风险","保留不动","29390805833","27.37 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","D:\Program Files\元梦之星-山海寻灵(2002532)\LetsGo","29051357909","27.06 GB","未分类","2026/4/10 15:50:19","2026/2/26 15:43:41","高风险","保留不动","29051357909","27.06 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","D:\Forge Models\Stable-Diffusion\pony","27919476840","26.00 GB","AI 模型权重、数据集、缓存","2026/4/10 15:46:04","2025/11/15 21:49:00","中风险","需要用户确认","27919476840","26.00 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","D:\Program Data\lmstudio_models\lmstudio-community\Qwen3.5-35B-A3B-GGUF","22071939008","20.56 GB","AI 模型权重、数据集、缓存","2026/4/10 15:46:46","2026/2/26 1:03:04","中风险","需要用户确认","22071939008","20.56 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","D:\Program Data\lmstudio_models\jenerallee78","21769690316","20.27 GB","AI 模型权重、数据集、缓存","2026/4/10 15:50:19","2026/4/9 10:12:01","中风险","需要用户确认","21769690316","20.27 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","D:\Program Data\lmstudio_models\jenerallee78\gemma-4-26B-A4B-it-ara-abliterated","21769690316","20.27 GB","AI 模型权重、数据集、缓存","2026/4/10 15:46:46","2026/4/9 10:36:50","中风险","需要用户确认","21769690316","20.27 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","D:\Program Data\lmstudio_models\unsloth","21451935552","19.98 GB","AI 模型权重、数据集、缓存","2026/4/10 15:50:19","2026/2/26 1:30:45","中风险","需要用户确认","21451935552","19.98 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","D:\Program Data\lmstudio_models\unsloth\Qwen3.5-27B-GGUF","21451935552","19.98 GB","AI 模型权重、数据集、缓存","2026/4/10 15:46:46","2026/2/25 19:53:39","中风险","需要用户确认","21451935552","19.98 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","D:\Program Data\lmstudio_models\lmstudio-community\QwQ-32B-GGUF","19851336256","18.49 GB","AI 模型权重、数据集、缓存","2026/4/10 15:46:46","2026/2/25 11:28:28","中风险","需要用户确认","19851336256","18.49 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","D:\Program Data\lmstudio_models\bartowski\Qwen_Qwen3-VL-30B-A3B-Instruct-GGUF","19715684736","18.36 GB","AI 模型权重、数据集、缓存","2026/4/10 15:46:46","2026/2/27 10:31:32","中风险","需要用户确认","19715684736","18.36 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","D:\Program Data\lmstudio_models\bartowski","19715684736","18.36 GB","AI 模型权重、数据集、缓存","2026/4/10 15:50:19","2026/4/9 10:08:50","中风险","需要用户确认","19715684736","18.36 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","D:\Program Data\lmstudio_models\mradermacher","18061185504","16.82 GB","AI 模型权重、数据集、缓存","2026/4/10 15:50:19","2026/4/7 9:43:17","中风险","需要用户确认","18061185504","16.82 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","D:\Program Data\lmstudio_models\mradermacher\gemma-4-31b-it-heretic-ara-GGUF","18061185504","16.82 GB","AI 模型权重、数据集、缓存","2026/4/10 15:46:46","2026/4/7 10:27:53","中风险","需要用户确认","18061185504","16.82 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","D:\Program Data\lmstudio_models\lmstudio-community\gemma-4-26B-A4B-it-GGUF","17990838368","16.76 GB","AI 模型权重、数据集、缓存","2026/4/10 15:46:46","2026/4/7 19:52:15","中风险","需要用户确认","17990838368","16.76 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","D:\Program Files\元梦之星-山海寻灵(2002532)\LetsGo\Content","14702351945","13.69 GB","未分类","2026/4/10 15:49:00","2026/2/26 14:52:57","高风险","保留不动","14702351945","13.69 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","D:\Program Files\元梦之星-山海寻灵(2002532)\LetsGo\Content\Paks","14662757606","13.66 GB","未分类","2026/4/10 15:49:00","2026/3/24 20:46:03","高风险","保留不动","14662757606","13.66 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","D:\Program Files\元梦之星-山海寻灵(2002532)\LetsGo\GameData\Saved","13260211868","12.35 GB","游戏文件与游戏缓存","2026/4/10 15:49:08","2026/3/24 20:48:24","中风险","需要用户确认","13260211868","12.35 GB","游戏资源可重装但体积大，回收空间高，代价是重装时间和流量。"
"Directory","D:\Program Files\元梦之星-山海寻灵(2002532)\LetsGo\GameData","13260211868","12.35 GB","游戏文件与游戏缓存","2026/4/10 15:50:19","2026/2/26 15:43:41","中风险","需要用户确认","13260211868","12.35 GB","游戏资源可重装但体积大，回收空间高，代价是重装时间和流量。"
"Directory","D:\Program Files\元梦之星-山海寻灵(2002532)\LetsGo\GameData\Saved\PersistentDownloadDir","12204532626","11.37 GB","游戏文件与游戏缓存","2026/4/10 15:49:04","2026/3/24 20:48:26","中风险","需要用户确认","12204532626","11.37 GB","游戏资源可重装但体积大，回收空间高，代价是重装时间和流量。"
"Directory","D:\Program Files\元梦之星-山海寻灵(2002532)\LetsGo\GameData\Saved\PersistentDownloadDir\%50%75%66%66%65%74","12011410743","11.19 GB","游戏文件与游戏缓存","2026/4/10 15:49:02","2026/3/24 6:51:00","中风险","需要用户确认","12011410743","11.19 GB","游戏资源可重装但体积大，回收空间高，代价是重装时间和流量。"
"Directory","D:\merge_sd_project","9955100960","9.27 GB","未分类","2026/4/10 15:46:46","2025/11/15 14:11:09","高风险","保留不动","9955100960","9.27 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
