"ItemType","Path","SizeBytes","SizeHuman","Category","LastAccessTime","LastWriteTime","RiskLevel","SuggestedAction","EstimatedReleaseBytes","EstimatedReleaseHuman","Reason","Hash","DuplicateGroup"
"File","C:\hiberfil.sys","13628076032","12.69 GB","未分类","2026/4/10 8:34:48","2026/4/10 8:34:48","高风险","保留不动","13628076032","12.69 GB","路径用途不明或属于工作/系统关键区域，默认保留。",,
"File","C:\pagefile.sys","68719476736","64.00 GB","未分类","2026/4/9 2:06:48","2026/4/9 2:06:48","高风险","保留不动","68719476736","64.00 GB","路径用途不明或属于工作/系统关键区域，默认保留。",,
"File","C:\$GetCurrent\media\sources\install.esd","5073996026","4.73 GB","未分类","2025/10/10 14:47:10","2025/10/10 10:48:13","高风险","保留不动","5073996026","4.73 GB","路径用途不明或属于工作/系统关键区域，默认保留。",,
"File","C:\FFOutput\新建文件夹\models\irwn_dit-v2-fp16-128x128.onnx.data","2840294400","2.65 GB","AI 模型权重、数据集、缓存","2026/3/21 21:20:57","2025/12/24 10:45:46","中风险","需要用户确认","2840294400","2.65 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","C:\FFOutput\新建文件夹\models\irwn_dit-v2-fp32-128x128.onnx.data","5680660480","5.29 GB","AI 模型权重、数据集、缓存","2026/3/21 21:21:05","2025/12/24 10:54:09","中风险","需要用户确认","5680660480","5.29 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","C:\FFOutput\新建文件夹\models\ldu21-amd-v2-fp16-64x64.pb","2458026752","2.29 GB","AI 模型权重、数据集、缓存","2026/3/21 21:21:10","2025/12/24 10:58:52","中风险","需要用户确认","2458026752","2.29 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","C:\FFOutput\新建文件夹\models\ldu21-v2-fp16-64x64-ov.tz","2211683581","2.06 GB","AI 模型权重、数据集、缓存","2026/3/21 21:21:14","2025/12/24 11:02:08","中风险","需要用户确认","2211683581","2.06 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","C:\FFOutput\新建文件夹\models\rxl_unet0-v2-fp16.pb","2439033600","2.27 GB","AI 模型权重、数据集、缓存","2026/3/21 21:21:21","2025/12/24 11:06:35","中风险","需要用户确认","2439033600","2.27 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","C:\FFOutput\新建文件夹\models\rxl_unet1-v2-fp16.pb","2441165568","2.27 GB","AI 模型权重、数据集、缓存","2026/3/21 21:21:24","2025/12/24 11:10:19","中风险","需要用户确认","2441165568","2.27 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","C:\FFOutput\新建文件夹\models\ssdunet-v1-fp16-64x64-ov.tz2","1733588632","1.61 GB","AI 模型权重、数据集、缓存","2026/3/21 21:21:27","2025/12/24 11:14:09","中风险","需要用户确认","1733588632","1.61 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","C:\FFOutput\新建文件夹\models\ssdunet-v1-fp16-64x64-ox.tz2","1732427502","1.61 GB","AI 模型权重、数据集、缓存","2026/3/21 21:21:29","2026/3/11 12:22:06","中风险","需要用户确认","1732427502","1.61 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","C:\FFOutput\新建文件夹\models\stdmax-v1-fp16-192x192-ov.tz2","1713534145","1.60 GB","AI 模型权重、数据集、缓存","2026/3/21 21:21:30","2025/12/24 11:19:34","中风险","需要用户确认","1713534145","1.60 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","C:\FFOutput\新建文件夹\models\stdmax-v1-fp16-192x192-ox.tz2","1778496458","1.66 GB","AI 模型权重、数据集、缓存","2026/3/21 21:21:35","2025/12/24 11:22:11","中风险","需要用户确认","1778496458","1.66 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","C:\FFOutput\新建文件夹\models\tpn_unet-v1-fp16-64x64-ox.tz2","1720324834","1.60 GB","AI 模型权重、数据集、缓存","2026/3/21 21:21:36","2026/3/11 12:25:17","中风险","需要用户确认","1720324834","1.60 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","C:\Program Files\Lenovo\AIAgent\Modules\Model\Model-7b\Qwen3-1.7B-ia_q40.gguf","1148807264","1.07 GB","AI 模型权重、数据集、缓存","2026/4/7 21:13:37","2025/12/29 19:25:18","高风险","保留不动","1148807264","1.07 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","C:\ProgramData\Lenovo\CreatorZone\Adapter\ImageAIGC\models\image_generate_models\stable_diffusion\cn_unet_fp16.pt.flat","1575050800","1.47 GB","AI 模型权重、数据集、缓存","2024/7/4 0:36:27","2024/3/7 18:01:07","中风险","需要用户确认","1575050800","1.47 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","C:\ProgramData\Lenovo\CreatorZone\Adapter\ImageAIGC\models\lora_train_models\model_large_caption.pth","1785411505","1.66 GB","AI 模型权重、数据集、缓存","2024/7/4 0:38:29","2023/3/30 0:13:54","中风险","需要用户确认","1785411505","1.66 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","C:\ProgramData\Lenovo\CreatorZone\Adapter\ImageAIGC\models\lora_train_models\v3-epoch2.2-emaonly.ckpt","3977486235","3.70 GB","AI 模型权重、数据集、缓存","2024/7/4 0:39:36","2023/12/18 14:41:11","中风险","需要用户确认","3977486235","3.70 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","C:\ProgramData\Lenovo\CreatorZone\Adapter\ImageAIGC\models\lora_train_models\clip-vit-large-patch14\pytorch_model.bin","1710671599","1.59 GB","AI 模型权重、数据集、缓存","2024/7/4 0:37:58","2023/12/18 14:41:02","中风险","需要用户确认","1710671599","1.59 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","C:\ProgramData\Topaz Labs LLC\Topaz Video AI\models\Lib\site-packages\torch\lib\torch_cuda.dll","1417319424","1.32 GB","AI 模型权重、数据集、缓存","2026/3/9 20:31:06","2025/10/29 6:53:58","中风险","需要用户确认","1417319424","1.32 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","C:\ProgramData\Topaz Labs LLC\Topaz Video AI\models\models\astra-1.0\model.part2.bin.enc","3105373116","2.89 GB","AI 模型权重、数据集、缓存","2026/3/9 20:31:33","2025/10/29 6:45:52","中风险","需要用户确认","3105373116","2.89 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","C:\Users\m1389\AppData\Local\Android\Sdk\system-images\android-29\default\x86_64\system.img","3232759808","3.01 GB","视频、压缩包、安装包","2026/2/24 22:02:55","2026/2/24 22:02:55","高风险","保留不动","3232759808","3.01 GB","大体积媒体或安装介质适合归档或删除，但需确认是否仍有使用需求。",,
"File","C:\Users\m1389\AppData\Local\Android\Sdk\system-images\android-36.1\google_apis_playstore\x86_64\system.img","2421161984","2.25 GB","视频、压缩包、安装包","2026/2/24 19:13:14","2026/2/24 19:13:14","高风险","保留不动","2421161984","2.25 GB","大体积媒体或安装介质适合归档或删除，但需确认是否仍有使用需求。",,
"File","C:\Users\m1389\AppData\Local\Docker\wsl\disk\docker_data.vhdx","4170186752","3.88 GB","虚拟机镜像、容器镜像","2026/3/12 7:40:12","2026/3/12 7:40:12","高风险","保留不动","4170186752","3.88 GB","虚拟磁盘和容器层删除后会直接影响运行环境，必须保守处理。",,
"File","C:\Users\m1389\AppData\Local\Google\Chrome\User Data\OptGuideOnDeviceModel\2025.8.8.1141\weights.bin","4269932544","3.98 GB","未分类","2026/2/28 15:19:25","1980/1/1 8:00:00","高风险","保留不动","4269932544","3.98 GB","路径用途不明或属于工作/系统关键区域，默认保留。",,
"File","C:\Users\m1389\AppData\Local\NVIDIA\DXCache\23e0a9382b109401.nvph","4294967296","4.00 GB","未分类","2026/3/10 23:39:00","2026/3/10 23:39:00","高风险","保留不动","4294967296","4.00 GB","路径用途不明或属于工作/系统关键区域，默认保留。",,
