"ItemType","Path","SizeBytes","SizeHuman","Category","LastAccessTime","LastWriteTime","RiskLevel","SuggestedAction","EstimatedReleaseBytes","EstimatedReleaseHuman","Reason","Hash","DuplicateGroup"
"File","D:\$RECYCLE.BIN\S-1-5-21-1418471464-393063676-2544137915-1001\$RF9WCWB\irwn_dit-v2-fp16-128x128.onnx.data","2840294400","2.65 GB","临时文件、回收站","2026/3/21 22:41:40","2026/3/21 22:35:42","低风险","直接删除","2840294400","2.65 GB","临时数据和回收站内容通常可再生成，属于优先清理区域。",,
"File","D:\classify_and_prefix_models\.venv\Lib\site-packages\torch\lib\dnnl.lib","2325803578","2.17 GB","AI 模型权重、数据集、缓存","2025/11/15 14:08:31","2025/9/21 16:59:33","中风险","需要用户确认","2325803578","2.17 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Forge Models\Stable-Diffusion\pony\星美pony_通用动漫插画大模型_1.0.safetensors","6938040874","6.46 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/9/23 20:41:32","中风险","需要用户确认","6938040874","6.46 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Forge Models\Stable-Diffusion\pony\cyberrealisticPony_v141.safetensors","6938040866","6.46 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/11/15 8:38:04","中风险","需要用户确认","6938040866","6.46 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Forge Models\Stable-Diffusion\pony\iniverseMixSFWNSFW_ponyRealGuofengV49.safetensors","7105349154","6.62 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/11/15 9:39:29","中风险","需要用户确认","7105349154","6.62 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Forge Models\Stable-Diffusion\pony\iniverseMixSFWNSFW_ponyRealGuofengV51.safetensors","6938045946","6.46 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/11/15 9:29:09","中风险","需要用户确认","6938045946","6.46 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Forge Models\Stable-Diffusion\sd 1.5\718-DA-Real-G30-真实影像_718-G30.safetensors","5672745460","5.28 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/11/15 21:13:30","中风险","需要用户确认","5672745460","5.28 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\merge_sd_project\Protogen_v8.6_Infinitely.ckpt","8195975381","7.63 GB","未分类","2025/11/15 14:11:08","2025/8/5 11:51:23","高风险","保留不动","8195975381","7.63 GB","路径用途不明或属于工作/系统关键区域，默认保留。",,
"File","D:\Program Data\lmstudio_models\bartowski\Qwen_Qwen3-VL-30B-A3B-Instruct-GGUF\mmproj-Qwen_Qwen3-VL-30B-A3B-Instruct-f16.gguf","1083499680","1.01 GB","AI 模型权重、数据集、缓存","2026/3/10 12:23:13","2026/2/26 8:08:10","中风险","需要用户确认","1083499680","1.01 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Data\lmstudio_models\bartowski\Qwen_Qwen3-VL-30B-A3B-Instruct-GGUF\Qwen_Qwen3-VL-30B-A3B-Instruct-Q4_K_M.gguf","18632185056","17.35 GB","AI 模型权重、数据集、缓存","2026/3/10 12:23:07","2026/2/27 10:30:48","中风险","需要用户确认","18632185056","17.35 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Data\lmstudio_models\jenerallee78\gemma-4-26B-A4B-it-ara-abliterated\gemma4-ara-2pass-APEX-Q5_K_M.gguf","20576631488","19.16 GB","AI 模型权重、数据集、缓存","2026/4/9 10:36:50","2026/4/9 10:32:50","中风险","需要用户确认","20576631488","19.16 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Data\lmstudio_models\jenerallee78\gemma-4-26B-A4B-it-ara-abliterated\mmproj-gemma4-f16.gguf","1193058336","1.11 GB","AI 模型权重、数据集、缓存","2026/4/9 10:14:00","2026/4/9 10:13:47","中风险","需要用户确认","1193058336","1.11 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Data\lmstudio_models\lmstudio-community\DeepSeek-R1-Distill-Qwen-1.5B-GGUF\DeepSeek-R1-Distill-Qwen-1.5B-Q8_0.gguf","1894531904","1.76 GB","AI 模型权重、数据集、缓存","2026/2/25 22:52:47","2026/2/25 11:56:57","中风险","需要用户确认","1894531904","1.76 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Data\lmstudio_models\lmstudio-community\gemma-4-26B-A4B-it-GGUF\gemma-4-26B-A4B-it-Q4_K_M.gguf","16796010624","15.64 GB","AI 模型权重、数据集、缓存","2026/4/10 10:11:31","2026/4/7 19:48:23","中风险","需要用户确认","16796010624","15.64 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
