"ItemType","Path","SizeBytes","SizeHuman","Category","LastAccessTime","LastWriteTime","RiskLevel","SuggestedAction","EstimatedReleaseBytes","EstimatedReleaseHuman","Reason","Hash","DuplicateGroup"
"File","E:\ComfyUI_windows_portable\ComfyUI\models\checkpoints\sd_xl_base_1.0.safetensors","6938078334","6.46 GB","AI 模型权重、数据集、缓存","2026/4/6 21:18:04","2025/8/5 11:05:27","中风险","需要用户确认","6938078334","6.46 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\checkpoints\SUPIR-v0F_fp16.safetensors","2664825592","2.48 GB","AI 模型权重、数据集、缓存","2026/4/6 21:00:58","2026/4/6 20:54:42","中风险","需要用户确认","2664825592","2.48 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\checkpoints\SUPIR-v0Q_fp16.safetensors","2664858464","2.48 GB","AI 模型权重、数据集、缓存","2026/4/6 21:00:59","2026/4/6 20:59:02","中风险","需要用户确认","2664858464","2.48 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\checkpoints\x4-upscaler-ema.safetensors","3531269371","3.29 GB","AI 模型权重、数据集、缓存","2026/4/6 20:05:20","2026/4/6 20:04:39","中风险","需要用户确认","3531269371","3.29 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\clip_vision\clip_vision_h.safetensors","1264219396","1.18 GB","AI 模型权重、数据集、缓存","2025/10/16 10:38:33","2025/8/12 17:31:16","中风险","需要用户确认","1264219396","1.18 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\diffusion_models\[Qwen_Image]Open_Qwen_Ultra丨开放版-国风武侠写实丨性感极致细节光影-电影感丨神话古风丨商业摄影_M1.safetensors","20430800504","19.03 GB","AI 模型权重、数据集、缓存","2025/9/23 10:30:11","2025/9/20 6:17:02","中风险","需要用户确认","20430800504","19.03 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\diffusion_models\Open_Qwen丨开放版-万物写实丨性感极致细节光影_Open_Qwen_A0.5.safetensors","20430795544","19.03 GB","AI 模型权重、数据集、缓存","2025/9/23 0:45:52","2025/9/20 14:02:51","中风险","需要用户确认","20430795544","19.03 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\diffusion_models\Qwen-Image_超梦AdamMix_Qwen丨开放版-真实二次元幻想CG大模型丨多模态千问修仙科幻古风小说_N1.safetensors","20430801832","19.03 GB","AI 模型权重、数据集、缓存","2025/9/23 10:14:34","2025/9/20 13:09:59","中风险","需要用户确认","20430801832","19.03 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\loras\high_noise_model.safetensors","1226977424","1.14 GB","AI 模型权重、数据集、缓存","2026/3/1 13:05:59","2025/8/13 22:57:21","中风险","需要用户确认","1226977424","1.14 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\loras\low_noise_model.safetensors","1226977424","1.14 GB","AI 模型权重、数据集、缓存","2026/3/1 13:19:01","2025/8/13 22:57:21","中风险","需要用户确认","1226977424","1.14 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
