"ItemType","Path","SizeBytes","SizeHuman","Category","LastAccessTime","LastWriteTime","RiskLevel","SuggestedAction","EstimatedReleaseBytes","EstimatedReleaseHuman","Reason"
"Directory","C:\","455589767836","424.30 GB","未分类","2026/4/10 15:45:27","2026/4/10 12:25:05","高风险","保留不动","455589767836","424.30 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users","154546318657","143.93 GB","未分类","2026/4/10 15:45:21","2026/3/7 16:00:10","高风险","保留不动","154546318657","143.93 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389","154292161484","143.70 GB","未分类","2026/4/10 15:45:26","2026/4/9 2:06:11","高风险","保留不动","154292161484","143.70 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\AppData","73061687223","68.04 GB","未分类","2026/4/10 15:45:21","2026/3/7 16:00:26","高风险","保留不动","73061687223","68.04 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Windows","58990638881","54.94 GB","未分类","2026/4/10 15:45:29","2026/4/6 22:25:54","高风险","保留不动","58990638881","54.94 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\AppData\Local","57175305415","53.25 GB","未分类","2026/4/10 15:45:15","2026/3/14 5:51:14","高风险","保留不动","57175305415","53.25 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Program Files","52631893328","49.02 GB","未分类","2026/4/10 15:45:27","2026/4/3 22:15:28","高风险","保留不动","52631893328","49.02 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\ProgramData","45011150230","41.92 GB","未分类","2026/4/10 15:42:24","2026/3/19 7:05:09","高风险","保留不动","45011150230","41.92 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\FFOutput\新建文件夹","36911581901","34.38 GB","未分类","2026/4/10 15:20:30","2026/3/21 21:21:36","高风险","保留不动","36911581901","34.38 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\FFOutput","36911581901","34.38 GB","未分类","2026/4/10 15:45:29","2026/3/21 21:20:47","高风险","保留不动","36911581901","34.38 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\FFOutput\新建文件夹\models","36231601989","33.74 GB","AI 模型权重、数据集、缓存","2026/4/10 15:20:30","2026/3/21 21:21:36","中风险","需要用户确认","36231601989","33.74 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","C:\Windows\WinSxS","22869826196","21.30 GB","未分类","2026/4/10 15:45:25","2026/4/6 22:27:08","高风险","保留不动","22869826196","21.30 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\Downloads","22199301301","20.67 GB","未分类","2026/4/10 15:41:57","2026/4/10 13:43:16","高风险","保留不动","22199301301","20.67 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\Videos","21582265578","20.10 GB","未分类","2026/4/10 15:45:16","2026/3/7 16:03:34","高风险","保留不动","21582265578","20.10 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\Videos\Captures","21541330792","20.06 GB","未分类","2026/4/10 15:35:55","2026/3/7 16:28:57","高风险","保留不动","21541330792","20.06 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\ProgramData\Lenovo","20877855836","19.44 GB","未分类","2026/4/10 15:41:59","2026/3/27 16:54:52","高风险","保留不动","20877855836","19.44 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\ProgramData\Lenovo\CreatorZone","19082106763","17.77 GB","未分类","2026/4/10 15:38:40","2025/10/10 18:11:42","高风险","保留不动","19082106763","17.77 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\ProgramData\Lenovo\CreatorZone\Adapter\ImageAIGC","18852989337","17.56 GB","未分类","2026/4/10 15:25:15","2025/10/10 18:11:42","高风险","保留不动","18852989337","17.56 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\ProgramData\Lenovo\CreatorZone\Adapter","18852989337","17.56 GB","未分类","2026/4/10 15:45:29","2025/10/10 18:09:47","高风险","保留不动","18852989337","17.56 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\Documents","17278281415","16.09 GB","未分类","2026/4/10 15:45:07","2026/4/3 22:17:21","高风险","保留不动","17278281415","16.09 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Program Files (x86)","16461702045","15.33 GB","未分类","2026/4/10 15:43:35","2026/3/7 15:58:46","高风险","保留不动","16461702045","15.33 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\AppData\Roaming","15560371005","14.49 GB","未分类","2026/4/10 15:45:26","2026/4/3 22:15:19","高风险","保留不动","15560371005","14.49 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Windows\System32","13802660104","12.85 GB","未分类","2026/4/10 15:45:27","2026/4/9 19:28:00","高风险","保留不动","13802660104","12.85 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\ProgramData\Lenovo\CreatorZone\Adapter\ImageAIGC\models","13372588853","12.45 GB","AI 模型权重、数据集、缓存","2026/4/10 15:25:15","2025/10/10 18:11:09","中风险","需要用户确认","13372588853","12.45 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","C:\Program Files\WindowsApps","12494240927","11.64 GB","未分类","2026/4/10 15:42:01","2026/4/10 12:43:52","高风险","保留不动","12494240927","11.64 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\ProgramData\Topaz Labs LLC","10654157652","9.92 GB","未分类","2026/4/10 15:26:18","2026/3/21 21:36:45","高风险","保留不动","10654157652","9.92 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
