"ItemType","Path","SizeBytes","SizeHuman","Category","LastAccessTime","LastWriteTime","RiskLevel","SuggestedAction","EstimatedReleaseBytes","EstimatedReleaseHuman","Reason"
"Directory","E:\","1008302654314","939.06 GB","未分类","2026/4/10 15:52:51","2026/4/10 12:25:05","高风险","保留不动","1008302654314","939.06 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","E:\webui_forge_cu121_torch231","693360529755","645.74 GB","未分类","2026/4/10 15:52:51","2025/10/15 15:20:50","高风险","保留不动","693360529755","645.74 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","E:\webui_forge_cu121_torch231\webui","686339495366","639.20 GB","未分类","2026/4/10 15:52:51","2025/11/26 19:17:17","高风险","保留不动","686339495366","639.20 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","E:\webui_forge_cu121_torch231\webui\models","685807266272","638.71 GB","AI 模型权重、数据集、缓存","2026/4/10 15:52:51","2026/4/6 18:30:39","中风险","需要用户确认","685807266272","638.71 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion","665383445385","619.69 GB","AI 模型权重、数据集、缓存","2026/4/10 15:52:51","2025/11/15 21:49:02","中风险","需要用户确认","665383445385","619.69 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","E:\ComfyUI_windows_portable","314922820286","293.29 GB","AI 模型权重、数据集、缓存","2026/4/10 15:51:22","2025/10/16 1:42:19","中风险","需要用户确认","314922820286","293.29 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","E:\ComfyUI_windows_portable\ComfyUI","308295634560","287.12 GB","AI 模型权重、数据集、缓存","2026/4/10 15:50:24","2026/4/6 21:37:51","中风险","需要用户确认","308295634560","287.12 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","E:\ComfyUI_windows_portable\ComfyUI\models","307088463991","286.00 GB","AI 模型权重、数据集、缓存","2026/4/10 15:50:24","2025/11/12 2:12:01","中风险","需要用户确认","307088463991","286.00 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sdxl","306423213722","285.38 GB","AI 模型权重、数据集、缓存","2026/4/10 15:52:51","2025/11/15 20:51:14","中风险","需要用户确认","306423213722","285.38 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
"Directory","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5","181624273836","169.15 GB","AI 模型权重、数据集、缓存","2026/4/10 15:52:51","2025/11/15 9:02:10","中风险","需要用户确认","181624273836","169.15 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。"
